Entity,Code,Day,"People fully vaccinated (cumulative, per hundred)"
Africa,,2021-09-14,4.814672
Africa,,2021-09-15,4.859367
Africa,,2021-09-16,4.944589
Africa,,2021-09-17,4.9821763
Africa,,2021-09-18,5.0189443
Africa,,2021-09-19,5.049325
Africa,,2021-09-20,5.0854263
Africa,,2021-09-21,5.1239815
Africa,,2021-09-22,5.1645174
Africa,,2021-09-23,5.2078967
Africa,,2021-09-24,5.258178
Africa,,2021-09-25,5.3076625
Africa,,2021-09-26,5.3643456
Africa,,2021-09-27,5.425262
Africa,,2021-09-28,5.461506
Africa,,2021-09-29,5.4948277
Africa,,2021-09-30,5.5278535
Africa,,2021-10-01,5.5646114
Africa,,2021-10-02,5.5998807
Africa,,2021-10-03,5.633826
Africa,,2021-10-04,5.672864
Africa,,2021-10-05,5.7135415
Africa,,2021-10-06,5.7546225
Africa,,2021-10-07,5.7939215
Africa,,2021-10-08,5.8309727
Africa,,2021-10-09,5.8695335
Africa,,2021-10-10,5.9064054
Africa,,2021-10-11,5.944964
Africa,,2021-10-12,5.989273
Africa,,2021-10-13,6.0380945
Africa,,2021-10-14,6.0841103
Africa,,2021-10-15,6.139345
Africa,,2021-10-16,6.1865687
Africa,,2021-10-17,6.2328076
Africa,,2021-10-18,6.282804
Africa,,2021-10-19,6.3299937
Africa,,2021-10-20,6.3738832
Africa,,2021-10-21,6.418579
Africa,,2021-10-22,6.465453
Africa,,2021-10-23,6.5085287
Africa,,2021-10-24,6.5654254
Africa,,2021-10-25,6.6348653
Africa,,2021-10-26,6.7043657
Africa,,2021-10-27,6.762154
Africa,,2021-10-28,6.8192134
Africa,,2021-10-29,6.8800297
Africa,,2021-10-30,6.9242506
Africa,,2021-10-31,6.9612565
Africa,,2021-11-01,7.0061474
Africa,,2021-11-02,7.0475883
Africa,,2021-11-03,7.0849447
Africa,,2021-11-04,7.125394
Africa,,2021-11-05,7.161159
Africa,,2021-11-06,7.1961684
Africa,,2021-11-07,7.2456193
Africa,,2021-11-08,7.300198
Africa,,2021-11-09,7.355545
Africa,,2021-11-10,7.4118185
Africa,,2021-11-11,7.482605
Africa,,2021-11-12,7.5384097
Africa,,2021-11-13,7.5909104
Africa,,2021-11-14,7.630134
Africa,,2021-11-15,7.6768446
Africa,,2021-11-16,7.716706
Africa,,2021-11-17,7.756089
Africa,,2021-11-18,7.7923636
Africa,,2021-11-19,7.837983
Africa,,2021-11-20,7.8860083
Africa,,2021-11-21,7.944085
Africa,,2021-11-22,7.9991746
Africa,,2021-11-23,8.049662
Africa,,2021-11-24,8.10161
Africa,,2021-11-25,8.152715
Africa,,2021-11-26,8.200066
Africa,,2021-11-27,8.240548
Africa,,2021-11-28,8.283066
Africa,,2021-11-29,8.3373375
Africa,,2021-11-30,8.3909445
Africa,,2021-12-01,8.444778
Africa,,2021-12-02,8.510541
Africa,,2021-12-03,8.585469
Africa,,2021-12-04,8.63386
